RSOInterestsId,RSOname,RSOInterest1,RSOInterest2,RSOInterest3
924,South Asian Law Students Association,Identity & Culture,~ Affiliation: Asian American Cultural Center (AACC),NA
925,Space Law Society,Law,NA,NA
926,Spanish and Portuguese Graduate Organization,Education,Pedagogy & Instruction,Social & Leisure
927,Speak Your Migraine,Advocacy & Activism,Health & Wellness,NA
928,Special Olympics Unified Sports UIUC,Advocacy & Activism,Athletic & Recreation,Community Service & Philanthropy
929,Special Populations’ Student Health Concerns Committee,Community Service & Philanthropy,NA,NA
930,Special Warfare Club,Veteran & Military Connected,NA,NA
931,Spicy Clamato Improv,Performance Arts,NA,NA
932,Sports and Entertainment Law Society,Law,NA,NA
933,Sports Analytics Society,Information & Data Sciences,NA,NA
934,Sprout UIUC,Business,Community Service & Philanthropy,Education
935,Squirrel and Bird Watching Club,Environmental & Sustainability,NA,NA
936,Sri Lankan Cultural Association,Identity & Culture,NA,NA
937,Steel Bridge,Technology,Engineering & Mathematics,NA
938,Stiletto Queens,Athletic & Recreation,Performance Arts,NA
939,Stitching Illini,Social & Leisure,NA,NA
940,Strengthening and Empowering Educators of Diverse Statuses,Education,Pedagogy & Instruction,Identity & Culture
941,Structural Engineers Association of Illinois Student Chapter ( SEAOI ),Social & Leisure,Technology,Engineering & Mathematics
942,Student Affairs Sustainability,Advocacy & Activism,Agricultural,Community Service & Philanthropy
943,Student Aircraft Builders,Technology,Engineering & Mathematics,NA
944,Student Alumni Ambassadors,Social & Leisure,NA,NA
945,Student Ambassadors of UIPD,Advocacy & Activism,Community Service & Philanthropy,NA
946,Student Art History Association,Media Arts,NA,NA
947,Student Bar Association,Community Service & Philanthropy,Health & Wellness,Law
948,Student Basic Needs Coalition @ University of Illinois at Urbana- Champaign,Community Service & Philanthropy,NA,NA
949,Student Chapter of The American College of Veterinary Pathologists at Illinois,Veterinary,NA,NA
950,Student Dietetic Association,Health & Wellness,NA,NA
951,Student Media Marketing Association,Honorary,Media Arts,NA
952,Student Nurses’ Association,Health & Wellness,Life & Physical Sciences,Social & Behavioral Sciences
953,Student Organization Resource Fee ( SORF ) Board,NA,NA,NA
954,Student Planning Organization,Environmental & Sustainability,Humanities,NA
955,Student Society for Human Resource Management,Business,Community Service & Philanthropy,Education
956,Student Sustainability Leadership Council,Advocacy & Activism,Community Service & Philanthropy,Environmental & Sustainability
957,Students Consulting for Nonprofit Organizations,Business,Community Service & Philanthropy,NA
958,Students for Environmental Concerns,Advocacy & Activism,Agricultural,Business
959,Students for Fair Democracy,Advocacy & Activism,Community Service & Philanthropy,Ideology & Politics
960,Students Organize for Syria,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
961,STYL Project,Environmental & Sustainability,Media Arts,Performance Arts
962,Sudden Cardiac-Death Awareness Research Foundation: University of Illinois at Urbana-Champaign Chapter,Health & Wellness,Technology,Engineering & Mathematics
963,Supply Chain Academy,NA,NA,NA
964,Supply Chain Management Association an ASCM Chapter,Business,NA,NA
965,Sustainable Solutions,Environmental & Sustainability,Technology,Engineering & Mathematics
966,Taiwanese American Students Club,Identity & Culture,~ Affiliation: Asian American Cultural Center (AACC),NA
967,Taiwanese Student Association,Faith,Religion & Spirituality,Identity & Culture
968,TAMID Group at Illinois,Business,NA,NA
969,Tau Beta Pi Engineering Honor Society,Honorary,Technology,Engineering & Mathematics
970,Tau Kappa Epsilon Fraternity,Social & Leisure,Social Fraternities & Sororities,NA
971,TAU SIGMA National Honor Society,Honorary,NA,NA
972,Tax Advisors for the Champaign Society,Business,Community Service & Philanthropy,NA
973,Taylor Swift Society,Social & Leisure,NA,NA
974,Tea and Company,Identity & Culture,Social & Leisure,NA
975,TEDxUIUC,Community Service & Philanthropy,Health & Wellness,Performance Arts
976,TerraWing,Environmental & Sustainability,Information & Data Sciences,Technology
977,The American Chemical Society East Central Illinois Women Chemists Committee,Life & Physical Sciences,NA,NA
978,The Baha’i Association at the University of Illinois,Faith,Religion & Spirituality,NA
979,The Blading Illini,Social & Leisure,NA,NA
980,The Canopy Club Connectors,Performance Arts,Social & Leisure,NA
981,The Classics Club,Education,Pedagogy & Instruction,Honorary
982,The Collective Magazine,NA,NA,NA
983,The Commu.n.i.t.y,Community Service & Philanthropy,NA,NA
984,The Cooking Collective,Community Service & Philanthropy,Identity & Culture,Social & Leisure
985,The Creative Collective,Media Arts,Performance Arts,NA
986,The Diabetes Link,Health & Wellness,NA,NA
987,The Dressember Organization of the University of Illinois at Urbana Champaign,Advocacy & Activism,~ Affiliation: Women's Resources Center (WRC),NA
988,The Fashion Network,Media Arts,Performance Arts,Social & Leisure
989,The Financial Planning Club at Illinois,Business,NA,NA
990,The Gray Matters at the University of Illinois Urbana-Champaign,Advocacy & Activism,Health & Wellness,NA
